HTTrack3.49-2+htsswf+htsjava launched on Fri, 08 Jul 2022 11:44:03 at http://103.139.171.5:5001/livetv.php +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qYC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" -Y http://103.139.171.5:5001/livetv.php -O1 "C:\My Web Sites\new" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

12:37:46	Error: 	"Unknown error" (451) at link sagracdnems01.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Gemini_Music_HD.png (from 103.139.171.5:5001/play.php?c=Gemini_Music_HD)
12:37:46	Error: 	"Unknown error" (451) at link sagraecdnems09.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Gemini_Movies_HD.png (from 103.139.171.5:5001/play.php?c=Gemini_Movies_HD)
12:37:46	Error: 	"Unknown error" (451) at link sagraecdnems03.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Surya_HD.png (from 103.139.171.5:5001/play.php?c=Surya_HD)
12:37:46	Error: 	"Unknown error" (451) at link sagraecdnems10.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Udaya_HD.png (from 103.139.171.5:5001/play.php?c=Udaya_HD)
12:37:46	Error: 	"Unknown error" (451) at link sagraecdnems06.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/I_Plus_News.png (from 103.139.171.5:5001/play.php?c=I_Plus_News)
12:37:46	Error: 	"Unknown error" (451) at link sagraecdnems03.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Katyayani.png (from 103.139.171.5:5001/play.php?c=Katyayani)
12:37:46	Error: 	"Unknown error" (451) at link sagracdnems03.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Shiva_Shakti_Sai_TV.png (from 103.139.171.5:5001/play.php?c=Shiva_Shakti_Sai_TV)
12:37:46	Error: 	"Unknown error" (451) at link sagraecdnems04.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Mahua_Plus.png (from 103.139.171.5:5001/play.php?c=Mahua_Plus)
12:37:46	Error: 	"Unknown error" (451) at link sagraecdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Samachar_Plus_Rajasthan.png (from 103.139.171.5:5001/play.php?c=Samachar_Plus_Rajasthan)
12:37:46	Warning: 	Retry after error -4 (No data (connection closed)) at link jiotv.catchup.cdn.jio.com/dare_images/images/First_India_News.png (from 103.139.171.5:5001/play.php?c=First_India_News)
12:37:47	Error: 	"Unknown error" (451) at link sagraecdnems01.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/PlayMyPlay.png (from 103.139.171.5:5001/play.php?c=PlayMyPlay)
12:37:47	Error: 	"Unknown error" (451) at link sagraecdnems05.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Zeal_News.png (from 103.139.171.5:5001/play.php?c=Zeal_News)
12:37:47	Error: 	"Unknown error" (451) at link sagracdnems01.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Brilliant_TV_Hindi.png (from 103.139.171.5:5001/play.php?c=Brilliant_TV_Hindi)
12:37:47	Error: 	"Unknown error" (451) at link sagraecdnems10.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Suddi_TV.png (from 103.139.171.5:5001/play.php?c=Suddi_TV)
12:37:47	Error: 	"Unknown error" (451) at link sagracdnems01.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Garv_Punjabi.png (from 103.139.171.5:5001/play.php?c=Garv_Punjabi)
12:37:47	Error: 	"Unknown error" (451) at link sagraecdnems09.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Garv_Gurbani.png (from 103.139.171.5:5001/play.php?c=Garv_Gurbani)
12:37:47	Error: 	"Unknown error" (451) at link sagracdnems03.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/INH_24x7.png (from 103.139.171.5:5001/play.php?c=INH_24x7)
12:37:47	Error: 	"Unknown error" (451) at link sagraecdnems06.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Vaanavil.png (from 103.139.171.5:5001/play.php?c=Vaanavil)
12:37:47	Warning: 	Retry after error -4 (No data (connection closed)) at link jiotv.catchup.cdn.jio.com/dare_images/images/Swayam_Prabha_12.png (from 103.139.171.5:5001/play.php?c=Swayam_Prabha_12)
12:37:48	Error: 	"Unknown error" (451) at link sagraecdnems08.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Toonami.png (from 103.139.171.5:5001/play.php?c=Toonami)
12:37:48	Error: 	"Unknown error" (451) at link sagraecdnems05.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Chintu_TV.png (from 103.139.171.5:5001/play.php?c=Chintu_TV)
12:37:48	Error: 	"Unknown error" (451) at link sagraecdnems10.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Kochu_TV.png (from 103.139.171.5:5001/play.php?c=Kochu_TV)
12:37:48	Error: 	"Unknown error" (451) at link sagraecdnems10.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Chutti_TV.png (from 103.139.171.5:5001/play.php?c=Chutti_TV)
12:37:48	Error: 	"Unknown error" (451) at link sagraecdnems02.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Kushi_TV.png (from 103.139.171.5:5001/play.php?c=Kushi_TV)
12:37:48	Error: 	"Unknown error" (451) at link sagracdnems03.cdnsrv.jio.com/jiotv.catchup.cdn.jio.com/dare_images/images/Maha_Cartoon.png (from 103.139.171.5:5001/play.php?c=Maha_Cartoon)
